text;translation;comment;region
WEBMQX;;Pokédex entry title;Paldea
QQLRE8L9J+T88SCLXV;;Pokédex entry subtitle (Blueberry Academy);Paldea
TXL3L89#R3ECBSA3CM;;Pokédex entry subtitle (Kitakami);Paldea
REKLBEQTVEWMS+CS3YC3;;Pokédex entry subtitle (Paldea);Paldea
3+QD7S9XS4;;Pokédex entry bottom left (and right, too) (Blueberry Academy);Paldea
CLXV39TSA8T;;Pokédex entry bottom left (and right, too) (Kitakami);Paldea
WSELBRSKTYC;;Pokédex entry bottom left (and right, too) (Paldea);Paldea
7W3Z;KUSA;Grass Map Header;Paldea
9LWB+;JIMEN;Ground Map Header;Paldea
YXK;IWA;Rock Map Header;Paldea
BC3S;MIZU;Water Map Header;Paldea
TQ7Q;HONOO;Fire Map Header, 7 is not shown as such, may be an error;Paldea
WV39T;MUSHI;Bug Map Header;Paldea
JEMXL;DENKI;Electric Map Header;Paldea
MLRJC;HIKOU;Flying Map Header;Paldea
MJYMVL;NORMAL;Normal Map Header;Paldea
RLE3B9Q;KAKUTOU;Fighting Map Header;Paldea
TEQSJ;ESUPA;Psychic Map Header;Paldea
4H8V;DOKU;Posion Map Header;Paldea
QWEY;GOST;Ghost Map Header (actually it says 4H8V but in effectiveness types it shows QWEY correctly);Paldea
BDSK;KOORI;Ice Map Header;Paldea
47E;AKU;Dark Map Header;Paldea
E8TQY;FEARI;Fairy Map Header;Paldea
QKDKJE;HAGANE;Steel Map Header;Paldea
X9CDJA;DRAGON;Dragon Map Header;Paldea
+HUF;;Sunflora Map Footer;Paldea
+HUFO2;;Sunflora Rotom Cover;Paldea
XNUHX;;Map Footer. I've put U as a variant of a closed o, which does not appear in Thraex Sans;Paldea
88H!RQ8;;Map Footer.;Paldea
QRN8HH!QX HH;;Map Footer. May be read backwards.;Paldea
3+QD()S 9XS4;;Adventure Guide Item. One character is missing because it is too small and blurry;Paldea
321^5 O Z2 A4LA 0;;Red/Violet Book Cover. Obvious AREA 0;Paldea
+T8W;;Yoghurt item;Paldea
4+OV;;Whipped Cream;Paldea
J1(2)UO^ I2 A4L4 0;;Briar's Book;Paldea
JEAQ;;Food Plate and Cup from Seabreeze Café (JP: KISSASHITSU NAGISA);Paldea
5UPHU MNI;;Churros from Smoochurro (JP: CHUROSU NICHU). Same as stand sign.;Paldea
7SW(3);;Kanto Crepes (JP: KANTO- KURE-PU);Paldea
IZON6 (I)95NO;;Sugar-N-Ice Stand (Medali);Paldea
QD7S9X RW93;;Sugar-N-Ice Stand (Zapapico. JP: AMAIYATSUMETAIYA);Paldea
DA4TA CQRA7;;Iono Zone Rotom Cover;Paldea
KLJRS KMRB3C89DAXJ;(Text beneath town name);This bit of text appears underneath all town signs. Specifically, the first line is just beneath the town’s name, while the second line is in the curve at the bottom.;Galar;Paldea
WL3R;POSTWICK;Furlong Town (ハロン Haron);Galar
